# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6912
#@/user_id	aae06e7b-1c87-4f88-82f7-00d22f8468fb
a 	啊	c=11 d=0.0676654 t=6912
cheng xu de 	程序的	c=1 d=0.0604343 t=6912
cheng xu xing neng 	程序性能	c=1 d=0.0239676 t=6912
cheng xu yi chu 	程序移除	c=1 d=3.3471e-07 t=6912
cheng xu yuan 	程序員	c=0 d=0.0748264 t=6912
cheng xu zhong 	程序中	c=1 d=6.6079e-09 t=6912
cheng yuan 	成員	c=7 d=2.66051e-07 t=6912
cheng yuan bian liang 	成員變量	c=3 d=4.45453e-06 t=6912
cheng yuan han shu 	成員函數	c=1 d=1.11974e-07 t=6912
cheng yuan han shu de 	成員函數的	c=1 d=8.17173e-08 t=6912
cheng zhi wei 	稱之爲	c=1 d=2.28382e-10 t=6912
chi ge fan 	喫個飯	c=1 d=0.0194482 t=6912
chong 	沖	c=1 d=2.49372e-15 t=6912
chong 	重	c=2 d=0.000921645 t=6912
chong fu 	重複	c=2 d=6.7892e-08 t=6912
chong man 	充滿	c=1 d=3.8514e-11 t=6912
chong pai xu 	重排序	c=1 d=2.97064e-15 t=6912
chong tu 	衝突	c=1 d=0.00137763 t=6912
chong xie 	重寫	c=1 d=1.74283e-06 t=6912
chong xin 	重新	c=5 d=0.0353633 t=6912
chong xin ji suan 	重新計算	c=1 d=5.84655e-10 t=6912
chou gan 	抽乾	c=1 d=0.371577 t=6912
chou xiang 	抽象	c=1 d=9.70436e-09 t=6912
chou xiang lei 	抽象類	c=3 d=2.24848e-07 t=6912
chu 	出	c=1 d=1.83281e-10 t=6912
chu 	處	c=2 d=0.00895996 t=6912
chu e 	除惡	c=0 d=0.000151855 t=6912
chu fa dian 	出發點	c=2 d=0.0428521 t=6912
chu lai 	出來	c=0 d=4.77276e-06 t=6912
chu le 	除了	c=2 d=1.53763e-06 t=6912
chu le zai 	除了在	c=1 d=1.76917e-06 t=6912
chu li 	處理	c=7 d=0.04767 t=6912
chu li cuo wu de 	處理錯誤的	c=1 d=2.46128e-08 t=6912
chu li dan yuan 	處理單元	c=1 d=0.000468957 t=6912
chu li duo zhong bu tong lei xing de 	處理多種不同類型的	c=1 d=3.60779e-07 t=6912
chu li han shu 	處理函數	c=1 d=1.3606e-05 t=6912
chu li he 	處理核	c=1 d=0.000145901 t=6912
chu li he de 	處理核的	c=1 d=0.00146632 t=6912
chu li qi 	處理器	c=11 d=0.00968218 t=6912
chu sheng 	出生	c=1 d=3.24984e-13 t=6912
chu shi hua 	初始化	c=5 d=0.000259544 t=6912
chu xian 	出現	c=1 d=0.0308227 t=6912
chu xian de 	出現的	c=1 d=0.0594521 t=6912
chu xian de pin lv gao 	出現的頻率高	c=1 d=0.597501 t=6912
chu xian zai 	出現在	c=1 d=8.72202e-10 t=6912
chu yu 	處於	c=1 d=0.00293808 t=6912
chuan bo 	傳播	c=1 d=1.70067e-12 t=6912
chuan di 	傳遞	c=6 d=3.69012e-06 t=6912
chuan di gei 	傳遞給	c=2 d=3.82219e-08 t=6912
chuan shu 	傳輸	c=2 d=3.87153e-05 t=6912
chuang jian 	創建	c=7 d=0.000729065 t=6912
chuang jian 	創見	c=2 d=2.8027e-07 t=6912
chuang jian de 	創建的	c=1 d=5.7189e-15 t=6912
chuang jian duo ge gou zao qi 	創建多個構造器	c=1 d=4.71388e-06 t=6912
chuang jian le 	創建了	c=0 d=0.000814786 t=6912
chuang jian le yi ge 	創建了一個	c=1 d=0.0081887 t=6912
chuang jian shi 	創建時	c=1 d=2.1992e-07 t=6912
chuang jian xu bu xu yao 	創建需不需要	c=1 d=2.14491e-07 t=6912
chuang jian yi ge 	創建一個	c=2 d=6.69154e-07 t=6912
chuang jian yi ge dui xiang 	創建一個對象	c=1 d=4.30816e-06 t=6912
chuang xin 	創新	c=0 d=6.16221e-12 t=6912
ci 	次	c=1 d=0.0137736 t=6912
ci 	此	c=1 d=1.05201e-12 t=6912
ci a you 	此啊有	c=1 d=4.35442e-14 t=6912
ci ku 	詞庫	c=3 d=5.98451e-06 t=6912
ci shi 	此時	c=1 d=5.08188e-08 t=6912
ci wai 	此外	c=1 d=2.86749e-11 t=6912
ci wang zhan 	此網站	c=1 d=1.05489e-11 t=6912
ci zhi 	辭職	c=0 d=9.54016e-07 t=6912
ci zhi bao gao 	辭職報告	c=1 d=9.58798e-06 t=6912
cong 	從	c=17 d=0.230373 t=6912
cong er 	從而	c=1 d=1.47874e-14 t=6912
cong zhe 	從這	c=1 d=0.156458 t=6912
cong zhe zhi hou 	從這之後	c=1 d=4.2756e-05 t=6912
cu 	粗	c=0 d=0.000332928 t=6912
cu li du 	粗粒度	c=2 d=0.00677663 t=6912
cuan gai 	篡改	c=1 d=4.12855e-05 t=6912
cun 	存	c=3 d=1.92814e-05 t=6912
cun chu 	存儲	c=0 d=4.34022e-06 t=6912
cun chu he guan li 	存儲和管理	c=1 d=4.36198e-05 t=6912
cun fang 	存放	c=0 d=0.00216013 t=6912
cun fang le 	存放了	c=1 d=0.0217096 t=6912
cun fang zai 	存放在	c=0 d=0.0196912 t=6912
cun zai 	存在	c=3 d=0.111084 t=6912
cun zhen 	村鎮	c=1 d=9.73289e-06 t=6912
cuo wu 	錯誤	c=1 d=0.0117656 t=6912
cuo wu chu li 	錯誤處理	c=1 d=2.02522e-08 t=6912
cuo wu de 	錯誤的	c=0 d=4.57807e-09 t=6912
da 	大	c=2 d=1.79143e-13 t=6912
da bao 	打包	c=2 d=2.22405e-13 t=6912
da bian 	答辯	c=3 d=3.87484e-15 t=6912
da bu fen 	大部分	c=2 d=5.59914e-12 t=6912
da cheng 	達成	c=0 d=0.0484325 t=6912
da cheng yi zhi 	達成一致	c=1 d=0.486752 t=6912
da dao 	達到	c=1 d=0.0900325 t=6912
da dao le 	達到了	c=1 d=5.80335e-11 t=6912
da de 	大的	c=0 d=4.08816e-08 t=6912
da duo shu 	大多數	c=1 d=0.0553357 t=6912
da fu 	大幅	c=1 d=4.69356e-14 t=6912
da gai 	大概	c=1 d=4.47545e-13 t=6912
da kai 	打開	c=6 d=7.74076e-05 t=6912
da liang 	大量	c=0 d=3.01348e-08 t=6912
da liang de 	大量的	c=1 d=3.02859e-07 t=6912
